-BEGIN HEADER-
NASA/POWER Source Native Resolution Hourly Data 
Dates (month/day/year): 01/01/2025 through 12/31/2025 in UTC
Location: Latitude  50.8503   Longitude 4.3517 
Elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = 36.84 meters
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 
Parameter(s): 
T2M                   MERRA-2 Temperature at 2 Meters (C) 
RH2M                  MERRA-2 Relative Humidity at 2 Meters (%) 
WS10M                 MERRA-2 Wind Speed at 10 Meters (m/s) 
WD10M                 MERRA-2 Wind Direction at 10 Meters (Degrees) 
PS                    MERRA-2 Surface Pressure (kPa) 
ALLSKY_SFC_SW_DWN     CERES SYN1deg All Sky Surface Shortwave Downward Irradiance (W m-2) 
-END HEADER-
YEAR,MO,DY,HR,T2M,RH2M,WS10M,WD10M,PS,ALLSKY_SFC_SW_DWN
2025,1,4,11,0.91,89.94,4.06,202.5,101.39,154.48
2025,1,4,12,1.44,88.67,3.89,201.7,101.32,142.7
2025,1,4,13,1.81,87.22,3.73,200.6,101.26,112.95
2025,1,4,14,1.58,89.57,3.02,193.0,101.2,61.15
2025,1,4,15,0.3,95.57,2.33,179.5,101.13,11.55
2025,1,4,16,-0.14,97.14,2.63,168.8,101.06,0.0
2025,1,4,17,-0.21,96.57,2.85,160.7,101.0,0.0
2025,1,4,18,-0.18,94.92,3.42,152.8,100.93,0.0
2025,1,4,19,-0.07,92.91,4.12,145.3,100.83,0.0
2025,1,4,20,-0.19,92.1,4.52,140.2,100.7,0.0
2025,1,4,21,-0.36,91.96,4.45,139.4,100.61,0.0
2025,1,4,22,-0.45,91.96,4.93,135.1,100.45,0.0
2025,1,4,23,-0.69,92.49,5.28,130.7,100.24,0.0
2025,1,5,0,-0.76,92.32,4.97,126.1,100.08,0.0
2025,1,5,1,-0.81,92.86,5.0,111.5,99.94,0.0
2025,1,5,2,-0.77,93.21,5.71,100.6,99.75,0.0
2025,1,5,3,-0.68,93.99,6.67,98.4,99.55,0.0
2025,1,5,4,-0.01,92.65,6.87,112.2,99.34,0.0
2025,1,5,5,0.98,93.85,5.06,140.5,99.2,0.0
2025,1,5,6,1.68,96.05,3.63,159.4,99.11,0.0
2025,1,5,7,2.69,98.26,4.01,182.6,99.02,0.0
2025,1,5,8,4.51,99.1,5.79,202.9,98.94,16.3
2025,1,5,9,6.54,98.07,8.22,216.0,98.9,37.53
2025,1,5,10,7.92,97.05,9.7,217.6,98.9,48.5
2025,1,5,11,8.38,95.74,10.95,217.5,98.85,49.22
2025,1,5,12,8.66,94.87,10.92,218.3,98.8,36.55
2025,1,5,13,8.95,94.62,10.88,217.7,98.74,46.78
2025,1,5,14,9.25,94.72,10.92,218.4,98.71,31.98
2025,1,5,15,9.42,94.69,10.64,217.7,98.69,8.27
2025,1,5,16,9.37,94.45,10.25,213.2,98.67,0.0
2025,1,5,17,9.28,93.94,10.16,210.2,98.66,0.0
2025,1,5,18,9.24,93.76,9.92,204.7,98.63,0.0
2025,1,5,19,9.35,93.41,10.16,203.1,98.57,0.0
2025,1,5,20,9.52,92.96,10.64,205.0,98.51,0.0
2025,1,5,21,9.53,92.87,10.69,207.3,98.49,0.0
2025,1,5,22,9.52,92.64,10.64,207.4,98.46,0.0
2025,1,5,23,9.5,92.2,10.68,205.5,98.42,0.0
2025,1,6,0,9.45,91.51,10.76,203.3,98.34,0.0
2025,1,6,1,9.34,90.93,10.88,200.6,98.27,0.0
2025,1,6,2,9.15,90.55,10.95,197.8,98.21,0.0
2025,1,6,3,8.97,90.08,10.94,195.0,98.13,0.0
2025,1,6,4,8.85,89.64,11.12,192.6,98.05,0.0
2025,1,6,5,8.7,89.93,11.28,191.1,97.97,0.0
2025,1,6,6,8.77,90.01,11.55,189.9,97.92,0.0
2025,1,6,7,9.23,89.07,12.12,190.1,97.85,0.0
2025,1,6,8,9.96,86.9,12.88,190.8,97.77,17.38
2025,1,6,9,10.83,84.54,13.7,191.1,97.66,45.35
2025,1,6,10,11.73,81.69,14.62,192.9,97.54,80.75
2025,1,6,11,11.71,82.28,15.51,200.8,97.45,86.75
2025,1,6,12,9.95,82.94,15.95,223.8,97.54,86.97
2025,1,6,13,7.22,79.19,15.75,236.9,97.8,59.78
2025,1,6,14,6.12,79.82,14.74,242.1,98.05,41.58
2025,1,6,15,5.3,81.02,13.28,248.0,98.32,12.1
2025,1,6,16,4.72,83.46,11.3,246.5,98.55,0.0
2025,1,6,17,4.4,86.24,9.82,240.0,98.7,0.0
2025,1,6,18,4.18,89.21,8.54,231.4,98.81,0.0
2025,1,6,19,3.95,92.29,7.63,221.9,98.88,0.0
2025,1,6,20,3.98,93.69,7.51,214.9,98.92,0.0
2025,1,6,21,4.08,94.42,7.37,211.0,98.96,0.0
2025,1,6,22,4.03,95.52,6.84,206.5,98.95,0.0
2025,1,6,23,3.88,95.53,6.75,206.5,98.92,0.0
2025,1,7,0,3.59,95.66,7.13,216.7,98.88,0.0
2025,1,7,1,3.36,95.81,6.7,229.2,98.89,0.0
2025,1,7,2,3.23,96.14,6.17,239.5,98.95,0.0
2025,1,7,3,3.19,96.08,6.07,245.7,99.03,0.0
2025,1,7,4,3.23,96.5,6.25,245.3,99.1,0.0
2025,1,7,5,3.28,96.64,6.63,242.4,99.18,0.0
2025,1,7,6,3.04,96.92,6.6,238.2,99.27,0.0
2025,1,7,7,2.66,97.09,6.52,233.8,99.36,0.0
2025,1,7,8,2.59,95.93,6.72,229.5,99.44,24.23
2025,1,7,9,3.01,93.14,7.1,227.0,99.48,64.78
2025,1,7,10,3.79,89.56,7.35,223.5,99.51,105.4
2025,1,7,11,4.49,86.95,7.81,221.8,99.5,118.8
2025,1,7,12,4.81,87.2,8.0,222.1,99.45,103.32
2025,1,7,13,4.89,88.87,8.07,224.1,99.4,61.97
2025,1,7,14,4.74,90.53,8.18,227.6,99.37,43.25
2025,1,7,15,4.18,92.62,8.02,232.5,99.38,10.15
2025,1,7,16,3.72,94.91,7.2,235.2,99.43,0.0
2025,1,7,17,3.62,95.46,6.85,240.6,99.51,0.0
2025,1,7,18,3.5,95.14,6.73,249.5,99.59,0.0
2025,1,7,19,3.24,94.28,6.47,254.4,99.65,0.0
2025,1,7,20,2.96,94.11,6.23,252.6,99.71,0.0
2025,1,7,21,2.76,94.0,6.25,249.1,99.76,0.0
2025,1,7,22,2.48,94.39,6.17,246.2,99.78,0.0
2025,1,7,23,1.84,96.54,5.84,244.3,99.8,0.0
2025,1,8,0,1.38,97.9,5.69,243.9,99.82,0.0
2025,1,8,1,0.97,98.86,5.4,237.8,99.8,0.0
2025,1,8,2,0.99,97.99,5.55,235.2,99.8,0.0
2025,1,8,3,0.83,98.19,5.3,236.2,99.84,0.0
2025,1,8,4,0.83,97.22,5.08,237.1,99.86,0.0
2025,1,8,5,0.82,97.33,4.58,237.4,99.9,0.0
2025,1,8,6,0.79,97.51,4.07,227.3,99.87,0.0
2025,1,8,7,0.77,97.67,4.09,219.3,99.89,0.0
2025,1,8,8,1.22,96.04,4.39,216.8,99.94,38.12
2025,1,8,9,2.02,93.86,4.11,211.6,99.95,85.97
2025,1,8,10,2.62,92.96,3.87,203.9,99.95,129.2
2025,1,8,11,3.12,91.97,3.43,198.3,99.89,108.88
2025,1,8,12,3.55,90.76,3.19,191.8,99.82,115.12
2025,1,8,13,3.51,91.6,2.56,183.8,99.78,94.9
2025,1,8,14,2.7,95.69,1.64,166.6,99.75,53.53
2025,1,8,15,2.14,97.53,1.76,132.2,99.71,9.4
2025,1,8,16,1.89,97.14,2.87,103.7,99.6,0.0
2025,1,8,17,1.45,97.8,4.17,89.5,99.5,0.0
2025,1,8,18,1.46,96.68,5.24,81.5,99.38,0.0
2025,1,8,19,1.29,96.83,5.68,74.5,99.29,0.0
2025,1,8,20,1.16,96.7,5.92,68.2,99.21,0.0
2025,1,8,21,0.81,97.62,6.25,59.3,99.13,0.0
2025,1,8,22,0.72,96.97,6.01,49.2,99.06,0.0
2025,1,8,23,0.76,96.48,5.71,32.0,99.1,0.0
2025,1,9,0,0.58,96.57,6.08,31.3,99.17,0.0
2025,1,9,1,0.28,96.45,5.96,40.6,99.23,0.0
2025,1,9,2,-0.19,97.12,5.84,46.9,99.26,0.0
2025,1,9,3,-0.35,96.78,5.6,49.6,99.23,0.0
2025,1,9,4,-0.55,97.02,5.04,42.7,99.22,0.0
2025,1,9,5,-0.57,96.67,5.12,30.5,99.26,0.0
2025,1,9,6,-0.62,96.61,5.27,20.3,99.34,0.0
2025,1,9,7,-0.75,96.91,5.12,15.9,99.43,0.0
2025,1,9,8,-0.52,96.51,4.6,12.2,99.5,24.0
2025,1,9,9,0.37,95.13,4.0,3.6,99.56,64.9
2025,1,9,10,1.42,94.61,3.51,342.1,99.63,101.28
2025,1,9,11,2.5,93.79,4.28,322.6,99.75,117.72
2025,1,9,12,3.23,92.27,4.65,311.0,99.87,109.43
2025,1,9,13,3.4,91.28,4.73,302.6,100.0,98.93
2025,1,9,14,3.16,90.27,5.2,295.4,100.14,61.3
2025,1,9,15,2.37,88.77,5.86,291.1,100.31,17.95
2025,1,9,16,0.81,90.01,5.55,284.2,100.46,0.0
2025,1,9,17,-0.29,91.66,5.45,273.6,100.56,0.0
2025,1,9,18,-0.57,93.06,5.76,265.4,100.66,0.0
2025,1,9,19,-0.65,94.86,5.75,259.7,100.72,0.0
2025,1,9,20,-0.81,96.48,5.77,254.3,100.8,0.0
2025,1,9,21,-0.81,97.14,5.89,251.8,100.9,0.0
2025,1,9,22,-0.81,97.49,5.75,251.4,100.97,0.0
2025,1,9,23,-0.79,97.38,5.63,253.5,101.03,0.0
2025,1,10,0,-0.81,97.31,5.41,255.8,101.07,0.0
2025,1,10,1,-0.6,96.5,5.11,257.1,101.11,0.0
2025,1,10,2,-0.24,95.6,5.01,258.3,101.15,0.0
2025,1,10,3,-0.17,95.62,4.82,258.4,101.19,0.0
2025,1,10,4,-0.35,96.27,4.36,257.8,101.22,0.0
2025,1,10,5,-0.59,96.29,4.12,256.1,101.27,0.0
2025,1,10,6,-1.14,97.04,3.97,249.6,101.31,0.0
2025,1,10,7,-2.04,99.61,4.02,241.8,101.36,0.0
2025,1,10,8,-1.52,97.83,4.19,237.1,101.4,62.03
2025,1,10,9,-0.08,94.34,4.28,236.2,101.43,137.15
2025,1,10,10,1.08,92.59,3.88,240.0,101.46,194.25
2025,1,10,11,2.1,87.88,3.68,249.6,101.46,216.32
2025,1,10,12,2.65,83.63,3.68,257.8,101.46,210.57
2025,1,10,13,2.71,83.7,3.21,262.9,101.45,169.73
2025,1,10,14,1.75,89.86,2.17,268.2,101.44,94.03
2025,1,10,15,-1.0,94.34,2.6,272.0,101.48,20.55
2025,1,10,16,-2.39,100.0,2.83,274.7,101.52,0.0
2025,1,10,17,-2.82,100.0,2.86,273.8,101.57,0.0
2025,1,10,18,-2.96,100.0,2.78,272.5,101.6,0.0
2025,1,10,19,-2.94,100.0,2.64,272.2,101.62,0.0
2025,1,10,20,-2.83,100.0,2.57,271.6,101.62,0.0
2025,1,10,21,-2.87,100.0,2.53,268.2,101.64,0.0
2025,1,10,22,-3.11,100.0,2.68,261.4,101.67,0.0
2025,1,10,23,-3.11,100.0,2.96,255.7,101.73,0.0
2025,1,11,0,-2.67,100.0,3.41,253.3,101.77,0.0
2025,1,11,1,-2.46,100.0,3.32,254.3,101.8,0.0
2025,1,11,2,-2.18,100.0,2.98,258.6,101.83,0.0
2025,1,11,3,-1.81,100.0,2.62,264.1,101.86,0.0
2025,1,11,4,-1.38,100.0,2.18,273.4,101.9,0.0
2025,1,11,5,-1.22,100.0,1.71,280.8,101.95,0.0
2025,1,11,6,-1.14,100.0,1.6,284.5,102.02,0.0
2025,1,11,7,-0.98,100.0,1.54,288.6,102.1,0.0
2025,1,11,8,-0.1,98.7,1.43,291.7,102.17,36.03
2025,1,11,9,0.74,97.12,1.47,294.1,102.22,75.43
2025,1,11,10,1.35,96.15,1.44,291.6,102.27,118.12
2025,1,11,11,2.12,93.32,1.78,297.7,102.31,110.53
2025,1,11,12,2.69,90.95,2.29,301.8,102.33,103.57
2025,1,11,13,3.0,90.51,2.62,304.6,102.36,79.2
2025,1,11,14,2.17,94.23,2.3,305.6,102.41,33.72
2025,1,11,15,-0.11,100.0,2.76,310.2,102.45,14.1
2025,1,11,16,-1.2,100.0,2.99,319.3,102.49,0.0
2025,1,11,17,-1.65,100.0,3.11,326.8,102.54,0.0
2025,1,11,18,-1.93,100.0,3.13,332.0,102.59,0.0
2025,1,11,19,-2.18,100.0,3.04,335.3,102.64,0.0
2025,1,11,20,-2.26,100.0,2.94,337.0,102.7,0.0
2025,1,11,21,-2.08,100.0,2.89,337.6,102.77,0.0
2025,1,11,22,-1.68,100.0,2.77,337.2,102.83,0.0
2025,1,11,23,-1.21,100.0,2.57,336.4,102.88,0.0
2025,1,12,0,-0.82,100.0,2.39,338.7,102.9,0.0
2025,1,12,1,-0.53,100.0,2.2,343.4,102.94,0.0
2025,1,12,2,-0.34,100.0,2.09,347.0,102.99,0.0
2025,1,12,3,-0.12,100.0,2.1,350.4,103.06,0.0
2025,1,12,4,-0.05,99.48,2.06,349.7,103.13,0.0
2025,1,12,5,-0.08,99.24,2.07,348.0,103.18,0.0
2025,1,12,6,0.12,97.76,1.77,352.2,103.22,0.0
2025,1,12,7,0.4,96.36,1.35,355.3,103.26,0.0
2025,1,12,8,0.83,95.51,1.54,337.9,103.34,46.58
2025,1,12,9,1.77,94.58,1.82,323.7,103.42,89.9
2025,1,12,10,2.56,93.48,2.02,317.6,103.46,121.95
2025,1,12,11,3.43,90.84,1.82,315.4,103.44,134.1
2025,1,12,12,4.0,88.87,1.79,316.1,103.42,138.02
2025,1,12,13,4.05,89.98,1.61,321.1,103.42,116.18
2025,1,12,14,3.48,91.57,1.05,332.2,103.43,72.4
2025,1,12,15,2.61,92.02,0.9,330.9,103.45,19.48
2025,1,12,16,2.11,93.77,0.99,320.3,103.49,0.0
2025,1,12,17,1.84,94.92,0.94,318.0,103.52,0.0
2025,1,12,18,1.66,95.73,0.84,329.2,103.59,0.0
2025,1,12,19,1.66,96.04,0.69,350.8,103.66,0.0
2025,1,12,20,1.72,95.9,0.4,49.1,103.71,0.0
2025,1,12,21,1.09,98.59,0.93,124.9,103.71,0.0
2025,1,12,22,0.27,100.0,1.4,145.2,103.7,0.0
2025,1,12,23,-0.4,100.0,1.69,156.6,103.69,0.0
2025,1,13,0,-0.78,100.0,1.79,166.4,103.67,0.0
2025,1,13,1,-1.01,100.0,1.86,168.8,103.67,0.0
2025,1,13,2,-1.19,100.0,1.87,166.7,103.69,0.0
2025,1,13,3,-1.05,100.0,1.75,164.1,103.72,0.0
2025,1,13,4,-1.16,100.0,2.21,165.8,103.72,0.0
2025,1,13,5,-1.77,100.0,2.44,166.7,103.74,0.0
2025,1,13,6,-2.58,100.0,2.51,169.9,103.73,0.0
2025,1,13,7,-3.23,100.0,2.7,174.7,103.73,0.0
2025,1,13,8,-2.17,97.21,2.55,178.2,103.75,66.53
2025,1,13,9,-0.36,90.08,2.53,177.3,103.76,168.2
2025,1,13,10,0.92,87.91,1.94,174.7,103.76,257.4
2025,1,13,11,2.49,78.97,2.03,168.1,103.71,305.02
2025,1,13,12,3.29,72.0,2.4,162.5,103.66,298.58
2025,1,13,13,3.13,75.18,2.16,164.2,103.62,221.9
2025,1,13,14,1.74,82.96,1.77,172.6,103.57,122.15
2025,1,13,15,-0.3,77.19,1.96,177.4,103.52,25.15
2025,1,13,16,-1.56,82.27,2.1,175.4,103.48,0.0
2025,1,13,17,-2.49,88.24,2.4,172.6,103.47,0.0
2025,1,13,18,-3.36,94.22,2.73,175.8,103.46,0.0
2025,1,13,19,-3.92,98.42,2.95,183.5,103.47,0.0
2025,1,13,20,-4.28,100.0,3.1,191.2,103.45,0.0
2025,1,13,21,-4.46,100.0,3.22,197.4,103.44,0.0
2025,1,13,22,-4.47,100.0,3.4,202.3,103.41,0.0
2025,1,13,23,-4.45,100.0,3.65,204.5,103.38,0.0
2025,1,14,0,-4.51,100.0,3.81,204.7,103.35,0.0
2025,1,14,1,-4.31,100.0,4.1,203.7,103.32,0.0
2025,1,14,2,-3.79,96.05,4.39,202.8,103.28,0.0
2025,1,14,3,-3.99,95.77,4.19,203.9,103.25,0.0
2025,1,14,4,-4.62,97.44,4.02,206.0,103.23,0.0
2025,1,14,5,-4.77,97.04,4.3,206.7,103.2,0.0
2025,1,14,6,-4.74,95.95,4.56,206.2,103.16,0.0
2025,1,14,7,-4.59,95.1,4.74,207.6,103.12,0.0
2025,1,14,8,-3.54,92.44,4.97,212.2,103.12,59.28
2025,1,14,9,-1.76,88.4,4.62,220.4,103.17,147.65
2025,1,14,10,0.23,82.86,4.63,232.6,103.2,215.02
2025,1,14,11,1.62,79.96,5.06,236.5,103.13,228.62
2025,1,14,12,2.3,81.35,4.74,236.2,103.03,228.73
2025,1,14,13,2.64,83.81,4.22,240.3,102.96,184.2
2025,1,14,14,2.46,88.25,3.34,245.0,102.93,108.18
2025,1,14,15,1.5,93.32,3.0,253.6,102.93,27.23
2025,1,14,16,0.68,97.98,3.1,254.3,102.95,0.0
2025,1,14,17,0.97,98.72,3.25,256.3,102.96,0.0
2025,1,14,18,1.53,98.94,3.26,258.9,102.96,0.0
2025,1,14,19,1.99,99.47,3.33,264.3,102.97,0.0
2025,1,14,20,2.23,100.0,3.4,266.3,102.94,0.0
2025,1,14,21,2.18,100.0,3.19,269.6,102.91,0.0
2025,1,14,22,2.19,100.0,2.96,279.5,102.89,0.0
2025,1,14,23,2.43,100.0,2.76,288.4,102.87,0.0
2025,1,15,0,2.48,100.0,2.69,295.8,102.84,0.0
2025,1,15,1,2.71,100.0,2.57,305.2,102.82,0.0
2025,1,15,2,2.69,100.0,2.53,317.7,102.82,0.0
2025,1,15,3,2.84,100.0,2.45,329.4,102.82,0.0
2025,1,15,4,2.86,100.0,2.35,338.0,102.81,0.0
2025,1,15,5,2.92,100.0,2.18,344.6,102.81,0.0
2025,1,15,6,3.14,100.0,1.96,345.8,102.83,0.0
2025,1,15,7,3.4,100.0,1.73,342.2,102.86,0.0
2025,1,15,8,3.74,100.0,1.56,336.6,102.89,44.58
2025,1,15,9,4.22,100.0,1.45,330.6,102.93,103.35
2025,1,15,10,5.24,98.73,1.46,326.4,102.95,156.62
2025,1,15,11,5.93,97.8,1.75,330.2,102.93,174.3
2025,1,15,12,6.35,97.36,1.74,338.7,102.88,171.3
2025,1,15,13,6.45,97.52,1.46,350.9,102.86,143.05
2025,1,15,14,5.86,99.46,1.14,6.6,102.86,85.8
2025,1,15,15,5.33,100.0,1.14,22.1,102.89,25.85
2025,1,15,16,5.06,100.0,1.16,36.6,102.92,0.0
2025,1,15,17,4.98,100.0,1.0,45.8,102.96,0.0
2025,1,15,18,4.92,99.67,0.82,64.7,102.99,0.0
2025,1,15,19,4.72,99.55,0.68,97.7,103.0,0.0
2025,1,15,20,4.45,99.49,0.62,134.3,103.01,0.0
2025,1,15,21,4.2,99.45,0.65,156.6,103.0,0.0
2025,1,15,22,3.91,99.87,0.68,162.1,103.01,0.0
2025,1,15,23,3.77,99.63,0.74,151.7,103.01,0.0
2025,1,16,0,3.53,99.86,0.88,136.4,103.0,0.0
2025,1,16,1,3.17,100.0,1.17,127.4,103.0,0.0
2025,1,16,2,2.89,100.0,1.39,126.8,103.03,0.0
2025,1,16,3,2.79,100.0,1.45,126.9,103.05,0.0
2025,1,16,4,2.66,99.83,1.6,127.9,103.08,0.0
2025,1,16,5,2.55,99.74,1.71,130.5,103.1,0.0
2025,1,16,6,2.49,99.72,1.77,134.1,103.1,0.0
2025,1,16,7,2.49,99.49,1.85,137.9,103.11,0.0
2025,1,16,8,2.97,97.7,2.56,143.9,103.12,37.33
2025,1,16,9,3.48,96.16,2.97,148.8,103.16,74.88
2025,1,16,10,4.34,93.49,2.99,154.0,103.17,115.18
2025,1,16,11,5.21,88.7,3.11,161.2,103.14,126.38
2025,1,16,12,5.53,86.16,3.02,162.6,103.1,131.15
2025,1,16,13,5.52,85.28,2.89,160.8,103.07,107.88
2025,1,16,14,4.96,88.3,2.36,158.1,103.06,66.0
2025,1,16,15,2.71,96.38,1.98,156.8,103.09,25.98
2025,1,16,16,1.1,100.0,2.16,158.3,103.13,0.0
2025,1,16,17,0.14,100.0,2.19,161.3,103.17,0.0
2025,1,16,18,-0.68,100.0,2.24,163.7,103.21,0.0
2025,1,16,19,-0.5,100.0,2.1,165.6,103.24,0.0
2025,1,16,20,0.29,98.96,2.92,168.5,103.24,0.0
2025,1,16,21,0.01,97.76,2.8,170.3,103.25,0.0
2025,1,16,22,-0.28,97.91,2.73,171.0,103.25,0.0
2025,1,16,23,-0.47,97.77,2.73,172.6,103.25,0.0
2025,1,17,0,-0.67,97.95,2.63,175.9,103.23,0.0
2025,1,17,1,-0.88,98.51,2.33,178.3,103.23,0.0
2025,1,17,2,-1.03,98.57,2.17,178.9,103.23,0.0
2025,1,17,3,-1.12,98.42,2.05,179.4,103.24,0.0
2025,1,17,4,-1.22,98.34,1.98,180.3,103.23,0.0
2025,1,17,5,-1.26,98.07,1.81,179.7,103.24,0.0
2025,1,17,6,-1.36,98.0,1.58,178.9,103.26,0.0
2025,1,17,7,-1.44,98.68,1.53,178.9,103.28,0.0
2025,1,17,8,-0.69,95.9,1.88,181.2,103.31,55.88
